Date,Open,High,Low,Close,Adj Close,Volume
29-12-2022,116.400002,121.029999,115.769997,120.260002,120.132538,22366200
15-02-2022,220.470001,221.149994,215.059998,221.0,220.765762,42685500
23-03-2023,202.839996,207.880005,202.149994,204.279999,204.063492,27389700
01-12-2021,330.290009,330.5,310.290009,310.600006,310.270813,30329600
09-11-2021,340.0,341.309998,334.470001,335.369995,335.014526,17556700
06-02-2020,210.470001,211.190002,209.339996,210.850006,210.626526,10567500
03-05-2022,210.449997,214.899994,208.089996,212.029999,211.805267,41556300
06-07-2022,168.199997,171.589996,165.460007,169.770004,169.590073,23085900
13-06-2022,170.589996,172.580002,164.029999,164.259995,164.085892,31749300
16-04-2024,498.109985,504.769989,497.109985,499.76001,499.76001,9847900
16-06-2021,336.700012,337.549988,328.720001,331.079987,330.729065,17232200
27-10-2022,97.980003,102.5,96.379997,97.940002,97.836197,232316600
12-07-2021,351.230011,354.190002,349.640015,353.160004,352.785706,10018600
20-10-2021,343.450012,343.980011,339.450012,340.779999,340.418823,13639500
20-01-2021,268.929993,270.320007,263.600006,267.480011,267.196503,25199900
22-06-2022,158.380005,160.789993,155.440002,155.850006,155.68483,47267800
27-02-2023,171.880005,173.119995,169.059998,169.539993,169.360306,19277000
06-10-2021,329.73999,334.380005,325.799988,333.640015,333.286407,26443000
28-07-2021,374.559998,377.549988,366.929993,373.279999,372.884369,29676900
14-09-2020,270.950012,276.640015,265.700012,266.149994,265.867889,24093800
29-01-2020,221.440002,224.199997,218.449997,223.229996,222.993393,33181300
13-01-2023,134.970001,137.389999,134.839996,136.979996,136.834808,22423800
06-10-2022,137.720001,141.449997,136.600006,139.070007,138.922607,36231100
31-03-2020,165.479996,170.929993,164.199997,166.800003,166.623215,23676300
01-02-2021,259.519989,264.170013,254.910004,262.01001,261.7323,22914300
25-01-2024,390.170013,395.48999,385.660004,393.179993,392.763275,15091100
09-02-2021,266.440002,273.390015,265.75,269.450012,269.164429,14613400
16-09-2022,148.050003,148.580002,144.289993,146.289993,146.134949,40122800
18-06-2021,334.529999,336.149994,329.0,329.660004,329.310608,23039500
19-01-2023,132.490005,137.449997,132.139999,136.149994,136.005692,28625200
25-08-2022,165.179993,168.880005,164.020004,168.779999,168.601105,15550500
19-03-2024,488.170013,496.630005,481.279999,496.23999,496.23999,10903100
04-03-2022,202.369995,205.889999,198.789993,200.059998,199.847961,32130900
28-10-2022,99.580002,100.849998,97.510002,99.199997,99.094856,95928300
25-11-2022,111.300003,112.730003,111.019997,111.410004,111.291924,12007600
22-10-2021,326.350006,329.630005,321.109985,324.609985,324.26593,35224500
26-07-2021,369.579987,374.440002,368.220001,372.459991,372.065216,14925200
07-12-2022,113.760002,115.879997,112.879997,113.93,113.80925,29461100
07-02-2023,185.580002,193.779999,184.399994,191.619995,191.416901,47080700
29-06-2021,356.269989,356.73999,349.049988,351.890015,351.517059,21417300
20-08-2021,354.600006,359.98999,353.309998,359.369995,358.989105,8697700
20-04-2020,177.410004,180.5,176.770004,178.240005,178.051086,16110700
19-01-2024,379.0,384.359985,377.970001,383.450012,383.04361,21470100
27-12-2021,338.850006,347.869995,338.01001,346.179993,345.81308,17795000
06-03-2023,188.0,189.660004,184.639999,184.899994,184.704025,33209400
16-06-2020,237.139999,238.460007,233.0,235.649994,235.400238,15236700
27-08-2021,365.100006,373.73999,364.079987,372.630005,372.235046,11219100
11-05-2020,210.889999,215.0,210.369995,213.179993,212.954041,12911900
26-02-2024,483.470001,486.140015,480.600006,481.73999,481.73999,12101400
26-12-2023,354.98999,356.980011,353.450012,354.829987,354.453918,9898600
24-10-2022,127.25,133.479996,124.57,129.720001,129.58252,63563400
02-11-2022,94.209999,95.199997,90.480003,90.540001,90.444038,71821100
17-01-2020,222.029999,222.289993,220.529999,222.139999,221.904556,15905900
29-07-2021,361.0,365.519989,356.73999,358.320007,357.940216,33413200
15-06-2022,167.199997,172.160004,163.979996,169.350006,169.170517,30008300
29-08-2023,288.579987,299.149994,288.179993,297.98999,297.674164,20844500
04-03-2020,189.169998,191.830002,186.389999,191.759995,191.556747,23062500
31-08-2020,293.950012,296.880005,291.549988,293.200012,292.889252,17345100
26-08-2021,368.380005,369.440002,364.130005,364.380005,363.993805,7888700
14-04-2022,214.889999,214.990005,210.0,210.179993,209.95723,18379500
